Event,Entry
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-yusuff-vs-barboza,1
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-dawson-vs-green,2
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-fiziev-vs-gamrot,3
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-grasso-vs-shevchenko-2,4
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-293-adesanya-vs-strickland,5
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-gane-vs-spivac,6
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holloway-vs-the-korean-zombie,7
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-292-sterling-vs-o-malley,8
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-luque-vs-dos-anjos,9
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-sandhagen-vs-font,10
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-291-poirier-vs-gaethje-2,11
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-aspinall-vs-tybura,12
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holm-vs-bueno-silva,13
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-290-volkanovski-vs-rodriguez,14
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-magomedov,15
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-emmett-vs-topuria,16
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-vettori-vs-cannonier,17
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-289-nunes-vs-aldana,18
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-kara-france-vs-albazi,19
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-dern-vs-hill,20
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rozenstruik-vs-almeida,21
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-288-sterling-vs-cejudo,22
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-song-vs-simon,23
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-pavlovich-vs-blaydes,24
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holloway-vs-allen,25
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-287-pereira-vs-adesanya-2,26
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-vera-vs-sandhagen,27
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-286-edwards-vs-usman-3,28
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-yan-vs-dvalishvili,29
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-285-jones-vs-gane,30
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-muniz-vs-allen,31
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-andrade-vs-blanchfield,32
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-284-makhachev-vs-volkanovski,33
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lewis-vs-spivac,34
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-283-teixeira-vs-hill,35
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-strickland-vs-imavov,36
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-cannonier-vs-strickland,37
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-282-blachowicz-vs-ankalaev,38
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-thompson-vs-holland,39
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-nzechukwu-vs-cutelaba,40
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-281-adesanya-vs-pereira,41
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-kattar-vs-allen,42
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-280-oliveira-vs-makhachev,43
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-grasso-vs-araujo,44
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-dern-vs-yan,45
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-sandhagen-vs-song,46
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-279-diaz-vs-ferguson,47
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-gane-vs-tuivasa,48
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-278-usman-vs-edwards,49
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-vera-vs-cruz,50
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-santos-vs-hill,51
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-277-pena-vs-nunes-2,52
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-blaydes-vs-aspinall,53
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-ortega-vs-rodriguez,54
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-276-adesanya-vs-cannonier,55
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-tsarukyan-vs-gamrot,56
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-kattar-vs-emmett,57
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-275-teixeira-vs-prochazka,58
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-volkov-vs-rozenstruik,59
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holm-vs-vieira,60
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-blachowicz-vs-rakic,61
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-274-oliveira-vs-gaethje,62
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-santos-vs-ankalaev,63
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-272-covington-vs-masvidal,64
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-makhachev-vs-green,65
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-270-ngannou-vs-gane,66
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-kattar-vs-chikadze,67
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lewis-vs-daukaus,68
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-269-oliveira-vs-poirier,69
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-font-vs-aldo,70
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-vieira-vs-tate,71
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holloway-vs-rodriguez,72
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-268-usman-vs-covington-2,73
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-267-blachowicz-vs-teixeira,74
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-costa-vs-vettori,75
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-ladd-vs-dumont,76
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-dern-vs-rodriguez,77
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-santos-vs-walker,78
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-266-volkanovski-vs-ortega,79
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-smith-vs-spann,80
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-brunson-vs-till,81
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-barboza-vs-chikadze,82
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-cannonier-vs-gastelum,83
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-265-lewis-vs-gane,84
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-hall-vs-strickland,85
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-sandhagen-vs-dillashaw,86
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-makhachev-vs-moises,87
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-264-poirier-vs-mcgregor-3,88
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-gane-vs-volkov,89
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-jung-vs-ige,90
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-263-adesanya-vs-vettori-2,91
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rozenstruik-vs-sakai,92
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-font-vs-garbrandt,93
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-262-oliveira-vs-chandler,94
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rodriguez-vs-waterson,95
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-reyes-vs-prochazka,96
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-261-usman-vs-masvidal-2,97
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-whittaker-vs-gastelum,98
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-vettori-vs-holland,99
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-260-miocic-vs-ngannou,100
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-brunson-vs-holland,101
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-edwards-vs-muhammad,102
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-259-blachowicz-vs-adesanya,103
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rozenstruik-vs-gane,104
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-blaydes-vs-lewis,105
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-258-usman-vs-burns,106
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-overeem-vs-volkov,107
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-257-poirier-vs-mcgregor,108
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-chiesa-vs-magny,109
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holloway-vs-kattar,110
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-thompson-vs-neal,111
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-256-figueiredo-vs-moreno,112
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-hermansson-vs-vettori,113
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-smith-vs-clark,114
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-255-figueiredo-vs-perez,115
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-felder-vs-dos-anjos,116
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-santos-vs-teixeira,117
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-hall-vs-silva,118
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-254-khabib-vs-gaethje,119
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-ortega-vs-the-korean-zombie,120
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-moraes-vs-sandhagen,121
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-holm-vs-aldana,122
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-253-adesanya-vs-costa,123
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-covington-vs-woodley,124
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-waterson-vs-hill,125
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-overeem-vs-sakai,126
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-smith-vs-rakic,127
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-munhoz-vs-edgar,128
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-252-miocic-vs-cormier-3,129
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lewis-vs-oleinik,130
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-brunson-vs-shahbazyan,131
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-whittaker-vs-till,132
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-figueiredo-vs-benavidez-2,133
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-kattar-vs-ige,134
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-251-usman-vs-masvidal,135
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-poirier-vs-hooker,136
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-blaydes-vs-volkov,137
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-eye-vs-calvillo,138
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-250-nunes-vs-spencer,139
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-woodley-vs-burns,140
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-overeem-vs-harris,141
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-smith-vs-teixeira,142
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-249-ferguson-vs-gaethje,143
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-lee-vs-oliveira,144
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-248-adesanya-vs-romero,145
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-benavidez-vs-figueiredo,146
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-felder-vs-hooker,147
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-anderson-vs-blachowicz,148
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-247-jones-vs-reyes,149
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-blaydes-vs-dos-santos,150
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-246-mcgregor-vs-cowboy,151
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-edgar-vs-the-korean-zombie,152
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-245-usman-vs-covington,153
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-overeem-vs-rozenstruik,154
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-blachowicz-vs-jacare,155
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-zabit-vs-kattar,156
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-244-masvidal-vs-diaz,157
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-maia-vs-askren,158
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-reyes-vs-weidman,159
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-joanna-vs-waterson,160
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-243-whittaker-vs-adesanya,161
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-hermansson-vs-cannonier,162
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-rodriguez-vs-stephens,163
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-cowboy-vs-gaethje,164
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-242-khabib-vs-poirier,165
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-andrade-vs-zhang,166
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-241-cormier-vs-miocic-2,167
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-shevchenko-vs-carmouche-2,168
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-covington-vs-lawler,169
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-240-holloway-vs-edgar,170
https://sports-statistics.com/ufc/ufc-fight-statistics/ufc-fight-night-dos-anjos-vs-edwards,171
